data.date;data.confirmed;data.hosp;data.deaths
05/08/2020;4834047;44663;158554
06/08/2020;4891561;43891;159625
07/08/2020;4952718;43210;160981
08/08/2020;5007958;41593;161947
09/08/2020;5056438;41484;162486
10/08/2020;5103611;42072;163023
11/08/2020;5156968;41645;164474
12/08/2020;5211246;41817;165952
13/08/2020;5265307;41240;167165
14/08/2020;5324784;39980;168341
15/08/2020;5375527;38699;169400
16/08/2020;5417664;38850;169915
17/08/2020;5455187;39032;170449
18/08/2020;5498420;38897;171798
19/08/2020;5541433;38002;173093
20/08/2020;5587475;37321;174136
21/08/2020;5636491;35972;175297
22/08/2020;5681517;34888;176247
23/08/2020;5713850;34609;176693
24/08/2020;5754254;34791;177197
25/08/2020;5793385;34479;178410
26/08/2020;5838532;33624;179603
27/08/2020;5884368;33285;180729
28/08/2020;5930932;31898;181739
29/08/2020;5975541;31178;182610
30/08/2020;6008970;31075;182984
31/08/2020;6045457;31395;183472
01/09/2020;6089506;31118;184563
02/09/2020;6121950;30827;185639
03/09/2020;6168347;30296;186717
04/09/2020;6220448;29879;187697
05/09/2020;6262701;28845;188409
06/09/2020;6292699;28369;188820
07/09/2020;6317865;28589;189083
08/09/2020;6346807;28951;189541
09/09/2020;6380139;28775;190716
10/09/2020;6418200;28065;191631
11/09/2020;6465767;27368;192858
12/09/2020;6504871;26512;193559
13/09/2020;6538214;26329;193958
14/09/2020;6575101;26788;194408
15/09/2020;6614318;26935;195689
16/09/2020;6653586;26372;196686
17/09/2020;6698896;26085;197535
18/09/2020;6747783;25833;198484
19/09/2020;6789594;25480;199154
20/09/2020;6825950;25543;199367
21/09/2020;6880902;26379;199797
22/09/2020;6918293;26440;200738
23/09/2020;6959842;26484;201828
24/09/2020;7005046;26407;202713
25/09/2020;7059627;26275;203566
26/09/2020;7102322;25904;204335
27/09/2020;7139620;25970;204602
28/09/2020;7176980;27021;204952
29/09/2020;7220677;27505;205878
30/09/2020;7262735;27669;206852
01/10/2020;7309153;27478;207699
02/10/2020;7362733;27407;208564
03/10/2020;7410512;27271;209273
04/10/2020;7445575;27871;209606
05/10/2020;7507988;28956;210035
06/10/2020;7550850;29999;210756
07/10/2020;7603867;30543;211752
08/10/2020;7660249;31015;212680
09/10/2020;7719211;31207;213595
10/10/2020;7770859;30981;214187
11/10/2020;7815642;31435;214606
12/10/2020;7863658;32780;214957
13/10/2020;7918051;33508;215783
14/10/2020;7977904;33936;216792
15/10/2020;8043257;34388;217585
16/10/2020;8113721;34641;218476
17/10/2020;8166482;34322;219154
18/10/2020;8214364;35016;219541
19/10/2020;8279804;36432;220058
20/10/2020;8340398;37414;220987
21/10/2020;8404635;38105;222195
22/10/2020;8479765;38849;223023
23/10/2020;8565062;39080;223953
24/10/2020;8643641;39341;224825
25/10/2020;8703356;39986;225164
26/10/2020;8777994;41336;225701
27/10/2020;8852381;42272;226684
28/10/2020;8934263;43487;227702
29/10/2020;9024932;44166;228706
30/10/2020;9124800;45075;229674
31/10/2020;9209007;45049;230512
01/11/2020;9283202;46054;230940
